pattern,replacement,comment
-,-,
:,:,
\.,\.,
\?,\?,
…,…,
сё,ɕo,
ся,ɕa,
сю,ɕu,
си,ɕi,
се,ɕe,
зё,ʑo,
зя,ʑa,
зю,ʑu,
зи,ʑi,
зе,ʑe,
нё,ɲo,
ня,ɲa,
ню,ɲu,
ни,ɲi,
не,ɲe,
лё,ʎo,
ля,ʎa,
лю,ʎu,
ли,ʎi,
ле,ʎe,
тё,co,
тя,ca,
тю,cu,
ти,ci,
те,ce,
дё,ɟo,
дя,ɟa,
дю,ɟu,
ди,ɟi,
де,ɟe,
сь,ɕ,
зь,ʑ,
нь,ɲ,
ль,ʎ,
ть,c,
дь,ɟ,
дз,ʥ,
дж,ʤ,
тш,ʧ,
бе,be,
ве,ve,
ге,ge,
ее,eje,
ёе,oje,
же,ʒe,
ие,ije,
іе,ije,
йе,je,
ке,ke,
ме,me,
ое,oje,
ӧе,əje,
пе,pe,
ре,re,
уе,uje,
фе,fe,
хе,xe,
це,ʦe,
че,ʨе
тше,ʧе,
ще,ɕːe,
ые,ɨje,
эе,eje,
юе,jue,
яе,aje,
ä,ä,
ö,ə,
а,a,
ӓ,ä,
б,b,
в,v,
г,g,
д,d,
ж,ʒ,
з,z,
и,i,
й,j,
к,k,
л,l,
м,m,
н,n,
о,o,
ӧ,ə,
п,p,
р,r,
х,x,
ц,ts,
щ,ɕː,
с',ɕ,
с,s,
т,t,
у,u,
ф,f,
ч,ʨ,
ш,ʃ,
ы,ɨ,
aе,aje,
ее,eje,
э,e,
ё,jo,
я,ja,
ю,ju,
ь,,
ъ,,
ʨʨ,ʨː,
